time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-02T00:13:06.300Z,-36.0365,51.9288,10,5.7,mwb,,26,14.685,1.37,us,us10007p5d,2017-03-27T23:53:17.040Z,"Southwest Indian Ridge",earthquake,10.3,1.7,0.068,21,reviewed,us,us
2017-01-02T13:13:48.710Z,-4.895,-76.3675,106,5.9,mww,,31,3.002,0.82,us,us10007p7n,2020-01-02T23:56:16.978Z,"37km E of Barranca, Peru",earthquake,7.1,1.9,,,reviewed,us,us
2017-01-02T13:14:02.830Z,-23.2513,179.2383,551.62,6.3,mww,,36,5.59,0.88,us,us10007p7m,2017-03-27T23:53:18.040Z,"South of the Fiji Islands",earthquake,9.9,3.3,0.05,38,reviewed,us,us
2017-01-03T09:09:02.080Z,24.0151,92.0177,32,5.7,mww,,20,1.375,0.86,us,us10007pfk,2020-01-02T23:56:29.214Z,"20km ENE of Ambasa, India",earthquake,6.7,1.8,0.071,19,reviewed,us,us
2017-01-03T21:19:07.540Z,-43.3527,-74.5017,10.26,5.5,mww,,96,0.656,0.91,us,us10007piy,2020-01-02T23:56:57.327Z,"76km WSW of Puerto Quellon, Chile",earthquake,4.1,1.7,0.071,19,reviewed,us,us
2017-01-03T21:52:30.670Z,-19.3733,176.0518,12,6.9,mww,,13,2.495,0.9,us,us10007pj6,2018-08-09T08:22:53.091Z,"226km SW of Nadi, Fiji",earthquake,7.3,1.7,,,reviewed,us,us
2017-01-03T21:55:37.520Z,-19.3977,175.9532,10,5.7,mb,,78,2.582,0.94,us,us10007pji,2017-03-27T23:53:21.040Z,"234km SW of Nadi, Fiji",earthquake,8.5,1.8,0.058,107,reviewed,us,us
2017-01-03T22:40:12.570Z,-19.1207,176.1875,10,6,mww,,26,2.237,1.01,us,us10007pjt,2017-03-27T23:53:21.040Z,"195km SW of Nadi, Fiji",earthquake,7.6,1.7,0.073,18,reviewed,us,us
2017-01-03T23:34:13.070Z,-18.9749,176.2872,19.36,5.5,mb,,120,2.075,1.31,us,us10007pka,2017-03-27T23:53:21.040Z,"176km SW of Nadi, Fiji",earthquake,9.2,3.8,0.048,153,reviewed,us,us
2017-01-04T01:06:10.880Z,-17.8694,167.1235,22.1,5.6,mww,,68,2.894,1.05,us,us10007pkn,2017-03-27T23:53:21.040Z,"127km W of Port-Vila, Vanuatu",earthquake,7.7,4.1,0.089,12,reviewed,us,us
2017-01-04T20:03:52.560Z,-18.7942,176.2567,7,5.7,mww,,79,2,1.17,us,us10007r5m,2017-03-27T23:53:23.040Z,"164km SW of Nadi, Fiji",earthquake,9.1,1.7,,,reviewed,us,us
2017-01-06T06:30:35.500Z,-22.3176,-67.795,172,5.8,mww,,22,0.724,1.63,us,us10007rkj,2017-03-27T23:53:24.040Z,"79km NNE of San Pedro de Atacama, Chile",earthquake,6.1,1.8,0.039,63,reviewed,us,us
2017-01-08T08:52:07.900Z,-6.2269,147.4769,61,5.9,mww,,16,3.172,0.74,us,us10007ryv,2020-01-02T23:57:11.768Z,"59km NW of Finschhafen, Papua New Guinea",earthquake,6.9,1.9,0.058,29,reviewed,us,us
2017-01-08T14:20:06.290Z,-54.327,-135.8585,10,5.6,mwb,,112,29.535,0.81,us,us10007s8c,2017-04-01T00:26:05.040Z,"Pacific-Antarctic Ridge",earthquake,7.3,1.8,0.08,15,reviewed,us,us
2017-01-08T23:47:14.420Z,74.3859,-92.4156,31,6,mww,,17,0.732,0.78,us,us10007s20,2017-04-01T00:26:05.040Z,"79km ESE of Resolute, Canada",earthquake,6.5,1.8,,,reviewed,us,us
2017-01-10T06:13:48.140Z,4.4782,122.6171,627.17,7.3,mww,,18,3.813,1.05,us,us10007s9c,2017-05-07T17:42:08.352Z,"189km SSE of Tabiauan, Philippines",earthquake,8.5,3,,,reviewed,us,us
2017-01-10T10:01:33.140Z,14.6898,144.34,10,5.7,mww,,20,1.208,0.84,us,us10007sb5,2017-04-01T00:26:07.040Z,"110km WNW of Rota, Northern Mariana Islands",earthquake,9.3,1.8,,,reviewed,us,us
2017-01-10T15:27:14.780Z,-10.1132,161.0271,26,6.3,mww,,14,1.257,0.69,us,us10007sd4,2020-01-02T23:57:37.096Z,"104km WNW of Kirakira, Solomon Islands",earthquake,7.2,1.7,,,reviewed,us,us
2017-01-11T21:58:18.410Z,-22.821,-69.8033,72,5.8,mww,,90,0.242,1.08,us,us10007sn1,2020-01-02T23:57:55.304Z,"90km SSE of Tocopilla, Chile",earthquake,4.8,1.6,0.054,33,reviewed,us,us
2017-01-11T22:06:58.670Z,-20.16,46.6469,7.26,5.5,mww,,47,1.261,0.68,us,us10007snb,2020-01-02T23:58:08.363Z,"41km SSW of Betafo, Madagascar",earthquake,5.9,3.3,0.093,11,reviewed,us,us
2017-01-12T13:29:06.300Z,-5.2669,102.7235,22.95,5.5,mb,,60,0.929,1.26,us,us10007sv2,2017-04-01T00:26:10.040Z,"118km WSW of Kuripan, Indonesia",earthquake,6.1,3.8,0.059,100,reviewed,us,us
2017-01-13T16:39:25.240Z,0.0303,125.077,42,5.7,mww,,27,2.405,1.12,us,us10007t3y,2017-04-01T00:26:12.040Z,"107km SE of Modayag, Indonesia",earthquake,6.6,1.9,,,reviewed,us,us
2017-01-14T06:11:40.920Z,-18.6205,176.2365,3.92,5.9,mww,,39,1.933,1.03,us,us10007t8x,2017-04-01T00:26:12.040Z,"154km SW of Nadi, Fiji",earthquake,8,3.4,0.055,32,reviewed,us,us
2017-01-14T10:34:50.390Z,-15.1123,-173.2682,5.24,5.5,mww,,66,1.874,0.57,us,us10007t9m,2017-04-01T00:26:12.040Z,"106km NNE of Hihifo, Tonga",earthquake,7.6,3.6,0.139,5,reviewed,us,us
2017-01-14T18:25:43.050Z,-18.6545,176.0894,4.39,5.7,mww,,40,2.074,0.88,us,us10007tas,2017-04-01T00:26:13.040Z,"169km SW of Nadi, Fiji",earthquake,7.2,2.9,0.049,40,reviewed,us,us
2017-01-16T01:16:38.010Z,-13.642,166.5223,14.03,5.8,mww,,22,7.128,0.68,us,us10007tfe,2020-01-02T23:58:21.878Z,"114km WNW of Sola, Vanuatu",earthquake,7.5,2.8,,,reviewed,us,us
2017-01-16T12:42:10.680Z,3.3168,98.4696,6,5.6,mww,,31,0.767,1.27,us,us10007tii,2020-01-02T23:58:36.519Z,"24km N of Kabanjahe, Indonesia",earthquake,5.2,1.7,0.069,20,reviewed,us,us
2017-01-16T20:47:39.210Z,-13.554,166.4169,14.89,5.9,mww,,28,7.226,1.35,us,us10007tjy,2020-01-02T23:58:50.335Z,"127km WNW of Sola, Vanuatu",earthquake,8.1,2.9,0.053,34,reviewed,us,us
2017-01-17T09:08:02.030Z,19.8529,-76.594,11,5.8,mww,,16,1.397,0.85,us,us10007tmh,2020-01-02T23:59:03.491Z,"44km S of Guisa, Cuba",earthquake,6.2,1.7,,,reviewed,us,us
2017-01-18T10:14:10.980Z,42.6012,13.2268,7,5.7,mww,,27,0.149,0.55,us,us10007twj,2020-01-02T23:59:18.139Z,"6km WSW of Amatrice, Italy",earthquake,5.2,1.8,,,reviewed,us,us
2017-01-18T10:25:25.490Z,42.5855,13.1904,10,5.6,mww,,30,0.169,0.55,us,us10007twn,2020-01-02T23:59:33.153Z,"8km NNW of Montereale, Italy",earthquake,5.2,1.8,,,reviewed,us,us
2017-01-19T23:04:21.150Z,-10.3506,161.3355,36,6.5,mww,,21,1.64,0.85,us,us10007u7n,2020-01-02T23:59:48.511Z,"65km W of Kirakira, Solomon Islands",earthquake,6.6,1.8,,,reviewed,us,us
2017-01-21T05:16:31.800Z,2.8266,128.2084,46.85,5.6,mww,,33,2.207,1.04,us,us10007ul1,2020-01-03T00:00:07.083Z,"123km N of Tobelo, Indonesia",earthquake,6.8,5,0.066,22,reviewed,us,us
2017-01-22T04:30:22.960Z,-6.2464,155.1718,135,7.9,mww,,9,3.625,1.22,us,us10007uph,2020-01-03T00:00:20.461Z,"35km WNW of Panguna, Papua New Guinea",earthquake,7.3,1.8,0.042,54,reviewed,us,us
2017-01-22T04:44:52.760Z,-6.7363,153.6022,10,5.6,mb,,51,2.878,1,us,us10007upq,2017-04-19T18:30:54.040Z,"213km WSW of Panguna, Papua New Guinea",earthquake,8.4,1.8,0.077,59,reviewed,us,us
2017-01-24T09:38:31.050Z,12.0891,146.2566,10,5.5,mww,,18,2.014,0.71,us,us10007v50,2017-04-19T18:30:57.040Z,"209km SE of Inarajan Village, Guam",earthquake,8.7,1.7,,,reviewed,us,us
2017-01-29T14:59:51.980Z,-30.0938,-177.4531,18,5.9,mww,,45,0.941,0.79,us,us10007w1e,2017-04-27T01:38:37.040Z,"101km SSE of Raoul Island, New Zealand",earthquake,8.9,1.7,,,reviewed,us,us
2017-01-30T23:35:24.160Z,-14.7735,167.1577,79,5.9,mww,,21,5.971,0.83,us,us10007wbk,2020-01-03T00:00:41.840Z,"32km NNE of Port-Olry, Vanuatu",earthquake,8.5,1.9,,,reviewed,us,us
2017-01-31T14:22:38.700Z,0.702,-79.6769,10,5.5,mww,,62,1.31,0.78,us,us10007wew,2020-01-03T00:00:54.602Z,"25km S of Propicia, Ecuador",earthquake,6,1.8,,,reviewed,us,us
